"","geometry","elevation","elev_units"
"2130",c(-110.198611, 30.861944),1511,"meters"
"2131",c(-110.223, 30.825),1535,"meters"
"2132",c(-109.106944, 30.430833),1760,"meters"
"2133",c(-109.1602778, 31.30277778),1229,"meters"
"2134",c(-109.1230556, 31.33055556),1308,"meters"
"2135",c(-115.54917, 31.21278),1536,"meters"
"2136",c(-115.41667, 30.8),1924,"meters"
"2137",c(-109.123056, 31.330556),1308,"meters"
"2138",c(-109.160278, 31.302778),1229,"meters"
"2139",c(-115.582134, 31.282934),1072,"meters"
"2140",c(-115.417, 31.4),889,"meters"
"2141",c(-116.161344, 32.471184),1254,"meters"
"2142",c(-112.394882, 31.388372),754,"meters"
"2143",c(-112.082591, 31.511384),892,"meters"
"2144",c(-111.936131, 31.237716),1061,"meters"
"2145",c(-116.036389, 32.556667),1146,"meters"
"2146",c(-114.233333, 29.283333),595,"meters"
"2147",c(-115.49792, 31.01475),2490,"meters"
"2148",c(-109.1231, 31.3306),1308,"meters"
"2149",c(-109.1603, 31.3028),1229,"meters"
"2150",c(-108.8872, 31.3053),1566,"meters"
"2151",c(-108.887222, 31.305278),1566,"meters"
"2152",c(-108.8872222, 31.30527778),1566,"meters"
"2153",c(-112.0825833, 31.50972222),892,"meters"
"2154",c(-112.3948889, 31.38669444),754,"meters"
"2155",c(-115.416667, 31.4),889,"meters"
"2156",c(-115.133333, 30.5166667),1038,"meters"
"2157",c(-114.5, 29.6),849,"meters"
"2158",c(-109.116667, 31.3166667),1308,"meters"
"2159",c(-116.065431, 32.468749),1298,"meters"
"2160",c(-116.16112, 32.44052),1319,"meters"
"2161",c(-116.11447, 32.448064),1296,"meters"
"2162",c(-116.766667, 31.933333),75,"meters"
"2163",c(-115.05, 31.433333),53,"meters"
"2164",c(-115.416667, 31.4),889,"meters"
"2165",c(-114.5, 29.6),849,"meters"
"2166",c(-114.05, 29.266667),1135,"meters"
"2167",c(-116.05, 32.466667),1268,"meters"
"2168",c(-116.15, 32.433333),1319,"meters"
"2169",c(-115.9166667, 32.0416667),1667,"meters"
"2170",c(-116.1, 31.9),1136,"meters"
"2171",c(-115.4833333, 31.3),1156,"meters"
"2172",c(-115.2333333, 30.5833333),1450,"meters"
"2173",c(-116, 32.4166667),1353,"meters"
"2174",c(-113.6333333, 28.7166667),803,"meters"
"2175",c(-114.1166667, 29.3166667),1091,"meters"
"2176",c(-115.7666667, 31.8166667),1536,"meters"
"2177",c(-113.60361, 28.73778),955,"meters"
"2178",c(-109.12306, 31.33056),1308,"meters"
"2179",c(-115.635218, 30.985709),1578,"meters"
"2180",c(-115.40417, 31.04167),1703,"meters"
"2181",c(-115.959, 32.18889),1708,"meters"
"2182",c(-115.90236, 32.05505),1667,"meters"
"2183",c(-116.45, 32.45),867,"meters"
"2184",c(-115.63797, 31.3595),1060,"meters"
"2185",c(-115.72105, 31.40918),978,"meters"
"2186",c(-114.08139, 29.34583),1155,"meters"
"2187",c(-114.05167, 29.27278),1135,"meters"
"2188",c(-116.11, 32.40472),1356,"meters"
"2189",c(-113.63572, 28.52594),1066,"meters"
"2190",c(-109.16028, 31.30278),1229,"meters"
"2191",c(-115.8457, 32.137),1342,"meters"
"2192",c(-116.06543, 32.46875),1298,"meters"
"2193",c(-116.11447, 32.44806),1296,"meters"
"2194",c(-114.50319, 29.59167),983,"meters"
"2195",c(-115.16214, 30.46746),1410,"meters"
"2196",c(-115.6266, 30.9953),1578,"meters"
"2197",c(-115.95, 32.16667),1708,"meters"
"2198",c(-115.55, 31.26667),1367,"meters"
"2199",c(-115.7, 31.11667),1122,"meters"
"2200",c(-114.11667, 29.31667),1091,"meters"
"2201",c(-115.3034, 30.5564),1256,"meters"
"2202",c(-115.2333, 30.43333),983,"meters"
"2203",c(-113.42049, 28.39466),1034,"meters"
"2204",c(-115.48333, 30.75),1327,"meters"
"2205",c(-113.57143, 28.82716),656,"meters"
"2206",c(-113.58341, 28.73669),850,"meters"
"2207",c(-113.58659, 28.90172),409,"meters"
"2208",c(-113.57501, 28.7103),977,"meters"
"2209",c(-114.60686, 29.82907),882,"meters"
"2210",c(-113.5595, 28.37184),892,"meters"
"2211",c(-116.19447, 32.24228),1308,"meters"
"2212",c(-115.1164, 30.49011),1038,"meters"
"2213",c(-116.18915, 32.26282),1308,"meters"
"2214",c(-116.0535, 31.6314),1181,"meters"
"2215",c(-115.6, 30.95),1543,"meters"
"2216",c(-115.767, 31.8167),1536,"meters"
"2217",c(-114.03105, 29.30766),1019,"meters"
"2218",c(-114.05003, 29.31675),1229,"meters"
"2219",c(-115.11667, 30.36667),1288,"meters"
"2220",c(-115.51667, 31.38333),1224,"meters"
"2221",c(-115.51667, 31.35833),1224,"meters"
"2222",c(-115.28333, 30.925),1220,"meters"
"2223",c(-115.625, 31.2),1222,"meters"
"2224",c(-112.082591, 31.511384),892,"meters"
"2225",c(-116.017222, 32.437222),1353,"meters"
"2226",c(-116.095027, 31.910472),1194,"meters"
"2227",c(-116.094027, 31.911388),1194,"meters"
"2228",c(-113.636, 28.5259),1066,"meters"
"2229",c(-115.88056, 30.94583),360,"meters"
"2230",c(-115.6166667, 31.0166667),1578,"meters"
"2231",c(-115.74646, 30.9541),809,"meters"
"2232",c(-116.3209, 31.8901),733,"meters"
"2233",c(-115.61667, 31.01667),1578,"meters"
"2234",c(-115.687555, 30.958326),903,"meters"
"2235",c(-116.075, 32.37917),1392,"meters"
"2236",c(-115.93333, 31.86667),1682,"meters"
"2237",c(-115.2419, 30.45073),1049,"meters"
"2238",c(-116.1387, 32.003),1122,"meters"
"2239",c(-116.19447, 32.24228),1308,"meters"
"2240",c(-115.64288, 30.9914),1198,"meters"
"2241",c(-115.61586, 31.0051),1578,"meters"
"2242",c(-116.1333, 31.9333),998,"meters"
"2243",c(-115.5917, 30.9417),2020,"meters"
"2244",c(-115.657, 30.9702),1120,"meters"
"2245",c(-115.8328, 31.3333),871,"meters"
"2246",c(-115.5915, 31.05204),1807,"meters"
"2247",c(-116.0667, 32.15),1504,"meters"
"2248",c(-115.46667, 30.79167),1769,"meters"
"2249",c(-115.68333, 30.96667),903,"meters"
"2250",c(-116.16428, 32.46667),1254,"meters"
"2251",c(-116.26667, 32.53333),1063,"meters"
"2252",c(-115.61667, 30.96667),1543,"meters"
"2253",c(-115.74583, 30.96667),809,"meters"
"2254",c(-116.092999, 31.912638),1194,"meters"
"2255",c(-116.17972, 32.48),1254,"meters"
"2256",c(-112.6, 27.4833),731,"meters"
"2257",c(-112.6, 27.483333),731,"meters"
"2258",c(-112.31716, 27.01818),491,"meters"
"2259",c(-113, 27.5166667),903,"meters"
"2260",c(-112.6, 27.5),731,"meters"
"2261",c(-112.5872, 27.4769),731,"meters"
"2262",c(-112.31758, 27.01672),491,"meters"
"2263",c(-112.31716, 27.01818),491,"meters"
"2264",c(-112.58274, 27.46731),731,"meters"
"2265",c(-112.5811, 27.5062),723,"meters"
"2266",c(-112.5796, 27.5048),723,"meters"
"2267",c(-109.75, 28.35),625,"meters"
"2268",c(-108.1336111, 29.15583333),2132,"meters"
"2269",c(-110.0752778, 30.56361111),1300,"meters"
"2270",c(-109.9166667, 30.74777778),1216,"meters"
"2271",c(-110.0294444, 30.80694444),1267,"meters"
"2272",c(-106.9038889, 26.00777778),2455,"meters"
"2273",c(-108.6430556, 28.55833333),1571,"meters"
"2274",c(-107.38333, 27.88333),2575,"meters"
"2275",c(-107.53333, 27.21667),2260,"meters"
"2276",c(-107.55361, 27.60389),2331,"meters"
"2277",c(-107.57083, 27.18639),2101,"meters"
"2278",c(-108.65, 27.23333),1291,"meters"
"2279",c(-108.9833, 26.98333),878,"meters"
"2280",c(-108.95, 28.01667),1853,"meters"
"2281",c(-109.0417, 28.375),1569,"meters"
"2282",c(-108.2833, 28.35),1938,"meters"
"2283",c(-108.516667, 28.15),982,"meters"
"2284",c(-108.3028, 28.27222),2108,"meters"
"2285",c(-108.2222, 28.17222),2115,"meters"
"2286",c(-108.2083, 28.16333),2027,"meters"
"2287",c(-108.3944, 28.17778),1716,"meters"
"2288",c(-108.2833, 28.11111),1952,"meters"
"2289",c(-108.7217, 28.17167),1835,"meters"
"2290",c(-108.3583, 28.3),1803,"meters"
"2291",c(-107.6333, 25.82417),1684,"meters"
"2292",c(-111.8333, 31.25),950,"meters"
"2293",c(-108.3889, 28.18889),2049,"meters"
"2294",c(-107.582509, 29.054256),2097,"meters"
"2295",c(-110.0167, 31),1786,"meters"
"2296",c(-109.9583, 30.94167),2023,"meters"
"2297",c(-109.958333, 30.933333),2018,"meters"
"2298",c(-108.7167, 27.31667),1168,"meters"
"2299",c(-109.9903, 31.25694),1731,"meters"
"2300",c(-108.9917, 26.97222),878,"meters"
"2301",c(-108.975, 26.98333),815,"meters"
"2302",c(-108.2833, 28.15),2215,"meters"
"2303",c(-109, 28),1684,"meters"
"2304",c(-109.9083, 30.85833),1901,"meters"
"2305",c(-109.0439, 28.37806),1569,"meters"
"2306",c(-108.6431, 28.39167),1595,"meters"
"2307",c(-108.3528, 28.41222),1944,"meters"
"2308",c(-108.990833, 31.310556),1485,"meters"
"2309",c(-108.94083, 31.19056),1505,"meters"
"2310",c(-108.90306, 31.16889),1637,"meters"
"2311",c(-108.91778, 31.18139),1637,"meters"
"2312",c(-109.22222, 30.58806),1819,"meters"
"2313",c(-108.99306, 31.31056),1485,"meters"
"2314",c(-111.10334, 31.19158),1296,"meters"
"2315",c(-111.07913, 31.16315),1325,"meters"
"2316",c(-111.09609, 31.19402),1296,"meters"
"2317",c(-110.39178, 30.9912),1872,"meters"
"2318",c(-110.38243, 31.00895),1872,"meters"
"2319",c(-110.75357, 30.63721),1406,"meters"
"2320",c(-110.74891, 30.65449),1431,"meters"
"2321",c(-110.76207, 30.61711),1406,"meters"
"2322",c(-110.7588, 30.68863),1299,"meters"
"2323",c(-110.37932, 31.04916),1766,"meters"
"2324",c(-110.38033, 31.05603),1766,"meters"
"2325",c(-110.37836, 31.06094),1766,"meters"
"2326",c(-110.38203, 31.06858),1602,"meters"
"2327",c(-110.3837, 31.06078),1766,"meters"
"2328",c(-110.37562, 31.05828),1766,"meters"
"2329",c(-110.38177, 31.04314),1766,"meters"
"2330",c(-109.54423, 30.01425),1524,"meters"
"2331",c(-109.55055, 30.0307),1410,"meters"
"2332",c(-109.5363, 30.01037),1524,"meters"
"2333",c(-109.54259, 30.03091),1410,"meters"
"2334",c(-109.54315, 29.95901),1597,"meters"
"2335",c(-109.5337, 29.9517),1597,"meters"
"2336",c(-109.52668, 29.9519),1597,"meters"
"2337",c(-109.5325, 29.95423),1597,"meters"
"2338",c(-109.52403, 29.94808),1597,"meters"
"2339",c(-109.20286, 30.58398),1819,"meters"
"2340",c(-110.45111, 30.90556),1457,"meters"
"2341",c(-109.93263, 30.95362),1932,"meters"
"2342",c(-109.96088, 30.97298),2023,"meters"
"2343",c(-109.95869, 30.93281),2018,"meters"
"2344",c(-109.17139, 30.55139),1847,"meters"
"2345",c(-109.22389, 30.60056),1819,"meters"
"2346",c(-109.27917, 30.57194),1138,"meters"
"2347",c(-109.26806, 30.57694),1477,"meters"
"2348",c(-109.25139, 30.57917),1477,"meters"
"2349",c(-109.48833, 29.92611),1683,"meters"
"2350",c(-108.95694, 31.33028),1609,"meters"
"2351",c(-108.77861, 31.32139),1665,"meters"
"2352",c(-108.344498, 29.97084),2214,"meters"
"2353",c(-108.322913, 28.979435),2080,"meters"
"2354",c(-107.132613, 27.271456),2178,"meters"
"2355",c(-108.358, 28.297746),1803,"meters"
"2356",c(-107.383, 27.8833),2575,"meters"
"2357",c(-110.38521, 31.003633),1872,"meters"
"2358",c(-107.5, 29.6667),1883,"meters"
"2359",c(-107.917544, 27.210467),1125,"meters"
"2360",c(-110.050231, 30.761723),1252,"meters"
"2361",c(-109.056165, 28.236442),1728,"meters"
"2362",c(-109.048136, 28.266235),1835,"meters"
"2363",c(-108.977, 26.9217),786,"meters"
"2364",c(-110.017, 31),1786,"meters"
"2365",c(-109.545, 30.0075),1524,"meters"
"2366",c(-110.57917, 30.72972),1563,"meters"
"2367",c(-110.56417, 30.76),1731,"meters"
"2368",c(-109.55556, 30.22833),1599,"meters"
"2369",c(-109.75694, 30.55694),1713,"meters"
"2370",c(-110.46333, 31.02611),1364,"meters"
"2371",c(-110.3825, 31.05444),1766,"meters"
"2372",c(-111.608978, 31.063371),1093,"meters"
"2373",c(-111.93016, 31.247909),1061,"meters"
"2374",c(-111.932221, 31.243834),1061,"meters"
"2375",c(-108.883333, 29.725),1241,"meters"
"2376",c(-111.635621, 31.05061),1078,"meters"
"2377",c(-111.609505, 31.06382),1093,"meters"
"2378",c(-110.35889, 30.33389),1390,"meters"
"2379",c(-110.39889, 30.39028),1527,"meters"
"2380",c(-110.39444, 30.3875),1527,"meters"
"2381",c(-110.54167, 30.36417),1039,"meters"
"2382",c(-109.00361, 29.82917),1816,"meters"
"2383",c(-110.3625, 30.35833),1527,"meters"
"2384",c(-109, 29.85556),1804,"meters"
"2385",c(-109.025, 29.85833),1526,"meters"
"2386",c(-109.976111, 31.144722),1544,"meters"
"2387",c(-110.435, 31.005),1625,"meters"
"2388",c(-108.696111, 27.581389),1336,"meters"
"2389",c(-110.3625, 30.358333),1527,"meters"
"2390",c(-110.397778, 30.383333),1527,"meters"
"2391",c(-109.00139, 29.83611),1816,"meters"
"2392",c(-108.98056, 29.84667),1816,"meters"
"2393",c(-108.97833, 29.84444),1816,"meters"
"2394",c(-110.5423, 30.36279),1039,"meters"
"2395",c(-111.9300486, 31.24401177),1061,"meters"
"2396",c(-111.9356306, 31.24460282),1061,"meters"
"2397",c(-109.1257061, 30.51405327),1884,"meters"
"2398",c(-109.1304122, 30.50389956),1884,"meters"
"2399",c(-109.1522745, 30.53563413),1847,"meters"
"2400",c(-109.1671063, 30.56164583),1943,"meters"
"2401",c(-109.2022515, 30.5665934),1819,"meters"
"2402",c(-109.9627218, 30.96556315),2023,"meters"
"2403",c(-109.9615278, 30.97140018),2023,"meters"
"2404",c(-110.9629913, 31.05623681),1501,"meters"
"2405",c(-110.9850634, 31.06299958),1369,"meters"
"2406",c(-110.981503, 31.04527766),1501,"meters"
"2407",c(-110.9848048, 31.04101915),1501,"meters"
"2408",c(-110.8023729, 30.33680879),1216,"meters"
"2409",c(-110.5693716, 30.73929465),1731,"meters"
"2410",c(-110.5651704, 30.73966865),1731,"meters"
"2411",c(-110.5631774, 30.76693983),1731,"meters"
"2412",c(-110.5576514, 30.69565373),1668,"meters"
"2413",c(-110.0090582, 31.26085227),1731,"meters"
"2414",c(-110.0030361, 31.26223119),1731,"meters"
"2415",c(-109.1984285, 30.55908857),1761,"meters"
"2416",c(-109.2286644, 30.52615066),1761,"meters"
"2417",c(-109.2178318, 30.568062),1819,"meters"
"2418",c(-109.7216194, 30.56211766),1575,"meters"
"2419",c(-109.7539833, 30.55146895),1713,"meters"
"2420",c(-110.4936842, 31.15284936),1664,"meters"
"2421",c(-110.5172247, 31.12019573),1668,"meters"
"2422",c(-109.5609405, 30.2613837),1599,"meters"
"2423",c(-109.5386073, 30.25131931),1599,"meters"
"2424",c(-109, 28.4),1656,"meters"
"2425",c(-109.5, 30.7),1371,"meters"
"2426",c(-108.97694, 29.84444),1661,"meters"
"2427",c(-110.97083, 31.05556),1501,"meters"
"2428",c(-110.93083, 31.0575),1275,"meters"
"2429",c(-108.97583, 28.36583),1725,"meters"
"2430",c(-110.384, 30.997),1872,"meters"
"2431",c(-108.971, 31.09),1795,"meters"
"2432",c(-109.008, 31.045),1935,"meters"
"2433",c(-109, 31.034),1935,"meters"
"2434",c(-109.002, 31.037),1935,"meters"
"2435",c(-109.004, 31.062),1935,"meters"
"2436",c(-108.973, 31.073),1795,"meters"
"2437",c(-110.398, 30.384),1527,"meters"
"2438",c(-108.94, 31.18),1557,"meters"
"2439",c(-108.902, 31.164),1637,"meters"
"2440",c(-108.847, 31.201),1955,"meters"
"2441",c(-108.83, 31.195),1955,"meters"
"2442",c(-108.862, 31.25),1600,"meters"
"2443",c(-109.908, 30.858),1901,"meters"
"2444",c(-104, 23),1733,"meters"
"2445",c(-107.38, 27.88),2575,"meters"
"2446",c(-107.53, 27.22),2260,"meters"
"2447",c(-106.4917, 29.0667),1987,"meters"
"2448",c(-108.08, 28.5),2490,"meters"
"2449",c(-107.5, 27.43),2003,"meters"
"2450",c(-107.75, 28.33),2226,"meters"
"2451",c(-107.87, 28.42),2132,"meters"
"2452",c(-107.58, 29.75),2146,"meters"
"2453",c(-102.5667, 28.9819),2270,"meters"
"2454",c(-106.78, 26.92),2255,"meters"
"2455",c(-108.52, 29.55),2065,"meters"
"2456",c(-108.32, 28.18),2282,"meters"
"2457",c(-108.93, 28.37),1614,"meters"
"2458",c(-107.5222, 29.7589),1921,"meters"
"2459",c(-106.5, 26.93),2042,"meters"
"2460",c(-107.6, 29.77),2243,"meters"
"2461",c(-108.07, 29.48),2342,"meters"
"2462",c(-108.37, 28.18),2049,"meters"
"2463",c(-108.23, 28.28),2173,"meters"
"2464",c(-107.95, 27.23),1777,"meters"
"2465",c(-108.03, 27.32),1776,"meters"
"2466",c(-108.28, 28.35),1938,"meters"
"2467",c(-108.45, 28.18),1332,"meters"
"2468",c(-107.78, 29.25),2170,"meters"
"2469",c(-108.28, 28.12),1952,"meters"
"2470",c(-108.32, 28.28),1981,"meters"
"2471",c(-108.5, 30.35),1924,"meters"
"2472",c(-108.13, 30.17),1975,"meters"
"2473",c(-108.83, 28.35),1620,"meters"
"2474",c(-108.2, 29.12),2200,"meters"
"2475",c(-107.48, 27.38),1912,"meters"
"2476",c(-108.2083, 28.1667),2027,"meters"
"2477",c(-107.78, 28.38),2136,"meters"
"2478",c(-107.63, 29.77),2243,"meters"
"2479",c(-109.9583, 30.9417),2023,"meters"
"2480",c(-108.72, 27.32),1168,"meters"
"2481",c(-110.02, 31),1786,"meters"
"2482",c(-108.98, 26.98),878,"meters"
"2483",c(-108.17, 29.53),2141,"meters"
"2484",c(-108.15, 29.53),2141,"meters"
"2485",c(-109.025, 29.8583),1526,"meters"
"2486",c(-109.025, 28.3667),1569,"meters"
"2487",c(-108.15, 31.87),1436,"meters"
"2488",c(-107.81856, 27.61947),2221,"meters"
"2489",c(-108.542, 28.442),1588,"meters"
"2490",c(-107.17, 26.67),2260,"meters"
"2491",c(-107.62, 29.77),2243,"meters"
"2492",c(-107.5945, 28.40283),2300,"meters"
"2493",c(-111.0628, 31.1703),1356,"meters"
"2494",c(-108.5478, 30.4986),2040,"meters"
"2495",c(-108.2108, 28.1722),2115,"meters"
"2496",c(-108.2336, 28.1714),2066,"meters"
"2497",c(-108.9886, 31.3011),1485,"meters"
"2498",c(-109.0011, 31.2783),1485,"meters"
"2499",c(-109.5711, 29.98),1452,"meters"
"2500",c(-109.2222, 30.5881),1819,"meters"
"2501",c(-110.32944, 29.7975),1457,"meters"
"2502",c(-108.940833, 31.190556),1505,"meters"
"2503",c(-109.001111, 31.278333),1485,"meters"
"2504",c(-110.3825, 31.054444),1766,"meters"
"2505",c(-109.222222, 30.588056),1819,"meters"
"2506",c(-108.903056, 31.168889),1637,"meters"
"2507",c(-110.31972, 29.79833),1457,"meters"
"2508",c(-110.3475, 29.80528),1457,"meters"
"2509",c(-111.10139, 31.19278),1296,"meters"
"2510",c(-111.08667, 31.17583),1325,"meters"
"2511",c(-111.06917, 31.12167),1411,"meters"
"2512",c(-109.74861, 30.54417),1713,"meters"
"2513",c(-109.7325, 30.57556),1663,"meters"
"2514",c(-110.34056, 29.78556),1457,"meters"
"2515",c(-110.37667, 31.04028),1766,"meters"
"2516",c(-108.233905, 28.172128),2209,"meters"
"2517",c(-109.72194, 30.53056),1651,"meters"
"2518",c(-109.73853, 30.55025),1713,"meters"
"2519",c(-110.75, 31.00833),1717,"meters"
"2520",c(-110.57752, 30.74652),1563,"meters"
"2521",c(-108.79415, 31.2933),1816,"meters"
"2522",c(-109.76973, 30.642121),1580,"meters"
"2523",c(-108.8167, 30.02308),1685,"meters"
"2524",c(-108.84988, 29.9852),1860,"meters"
"2525",c(-108.84472, 29.95443),2058,"meters"
"2526",c(-108.90015, 30.08532),1817,"meters"
"2527",c(-108.9217, 30.13641),1652,"meters"
"2528",c(-108.18414, 29.31744),2433,"meters"
"2529",c(-109.73592, 30.54202),1713,"meters"
"2530",c(-109.74742, 30.54894),1713,"meters"
"2531",c(-108.7195, 29.8173),1810,"meters"
"2532",c(-108.69993, 29.78306),1909,"meters"
"2533",c(-108.79998, 29.78719),2015,"meters"
"2534",c(-110.178, 29.0977),1081,"meters"
"2535",c(-110.33667, 29.78528),1457,"meters"
"2536",c(-110.34638, 29.81835),1373,"meters"
"2537",c(-110.34454, 29.80992),1373,"meters"
"2538",c(-110.35487, 29.8103),1373,"meters"
"2539",c(-109.5301, 31.09693),1254,"meters"
"2540",c(-109.00955, 29.82044),1816,"meters"
"2541",c(-109.02291, 29.86224),1526,"meters"
"2542",c(-108.9972, 29.83622),1816,"meters"
"2543",c(-109.53798, 29.91643),1515,"meters"
"2544",c(-109.53174, 29.91873),1515,"meters"
"2545",c(-109.97624, 30.99207),1877,"meters"
"2546",c(-110.3694, 31.326),1618,"meters"
"2547",c(-110.35538, 31.31726),1755,"meters"
"2548",c(-109.545244, 30.015979),1410,"meters"
"2549",c(-106.75925, 26.97275),2197,"meters"
"2550",c(-107.6839444, 27.34941667),2225,"meters"
"2551",c(-107.0963889, 26.55416667),1870,"meters"
"2552",c(-108.0996944, 27.51613889),1843,"meters"
"2553",c(-107.2636111, 28.17944444),2281,"meters"
"2554",c(-107.7938889, 28.61388889),2209,"meters"
"2555",c(-107.5752778, 28.30472222),2269,"meters"
"2556",c(-107.3202778, 28.31333333),2319,"meters"
"2557",c(-107.7733333, 28.16222222),2440,"meters"
"2558",c(-106.0558333, 27.12777778),1962,"meters"
"2559",c(-108.0713333, 29.05555556),2151,"meters"
"2560",c(-108.2119444, 28.77916667),2241,"meters"
"2561",c(-108.3280556, 29.04611111),2061,"meters"
"2562",c(-108.5847222, 29.03583333),1805,"meters"
"2563",c(-108.2011111, 28.55361111),2431,"meters"
"2564",c(-108.0497222, 28.60444444),2013,"meters"
"2565",c(-108.4566667, 28.54361111),1794,"meters"
"2566",c(-108.1541667, 28.64583333),2039,"meters"
"2567",c(-108.1346111, 27.19747222),1850,"meters"
"2568",c(-108.0313056, 27.15936944),2078,"meters"
"2569",c(-107.9288889, 27.11472222),1539,"meters"
"2570",c(-108.9908333, 31.31055556),1485,"meters"
"2571",c(-109.0011111, 31.27833333),1485,"meters"
"2572",c(-108.9408333, 31.19055556),1505,"meters"
"2573",c(-108.9030556, 31.16888889),1637,"meters"
"2574",c(-109.0012778, 31.27897222),1485,"meters"
"2575",c(-110.4402778, 30.62111111),1581,"meters"
"2576",c(-110.3549444, 30.32934444),1390,"meters"
"2577",c(-110.3587222, 30.33388889),1390,"meters"
"2578",c(-110.3625, 30.35833333),1527,"meters"
"2579",c(-108.6561111, 30.38722222),1817,"meters"
"2580",c(-108.7502778, 30.20305556),1646,"meters"
"2581",c(-110.3636111, 31.03055556),1766,"meters"
"2582",c(-110.3825, 31.05444444),1766,"meters"
"2583",c(-110.3772222, 31.03222222),1766,"meters"
"2584",c(-110.5423056, 30.36277778),1039,"meters"
"2585",c(-110.5416667, 30.36416667),1039,"meters"
"2586",c(-109.8280556, 30.83138889),1676,"meters"
"2587",c(-109.4883333, 29.92611111),1683,"meters"
"2588",c(-109.5458333, 30.01777778),1410,"meters"
"2589",c(-109.5580556, 29.99972222),1524,"meters"
"2590",c(-110.5013889, 30.75333333),1701,"meters"
"2591",c(-110.5862778, 30.81027778),1407,"meters"
"2592",c(-110.5527778, 30.68333333),1450,"meters"
"2593",c(-108.6791667, 29.845),1694,"meters"
"2594",c(-108.7254722, 29.75361111),2012,"meters"
"2595",c(-109.2726944, 30.57706667),1138,"meters"
"2596",c(-109.1726389, 30.55216667),1847,"meters"
"2597",c(-109.7294667, 30.54032222),1651,"meters"
"2598",c(-109.7417778, 30.55027778),1713,"meters"
"2599",c(-111.6089722, 31.06169444),1178,"meters"
"2600",c(-110.33624, 29.82937),1373,"meters"
"2601",c(-109.98684, 30.92563),1789,"meters"
"2602",c(-109.96042, 30.94296),2023,"meters"
"2603",c(-109.96075, 30.97283),2023,"meters"
"2604",c(-110.21944, 30.84222),1535,"meters"
"2605",c(-110.00607, 30.99635),1786,"meters"
"2606",c(-110.23194, 30.88417),1511,"meters"
"2607",c(-109.94584, 30.95137),2023,"meters"
"2608",c(-108.77472, 31.31778),1665,"meters"
"2609",c(-107.93861, 29.17333),2289,"meters"
"2610",c(-108.836111, 28.3375),1735,"meters"
"2611",c(-108.283333, 28.1),1952,"meters"
"2612",c(-108.366667, 28.3),1803,"meters"
"2613",c(-108.394444, 28.177778),1716,"meters"
"2614",c(-108.216667, 28.172222),2115,"meters"
"2615",c(-108.208333, 28.166667),2027,"meters"
"2616",c(-108.283333, 28.35),1938,"meters"
"2617",c(-108.283333, 28.15),2215,"meters"
"2618",c(-108.916667, 26.916667),379,"meters"
"2619",c(-109.033333, 28.366667),1569,"meters"
"2620",c(-108.302778, 28.272222),2108,"meters"
"2621",c(-108.2, 28.166667),2027,"meters"
"2622",c(-109.025, 29.858333),1526,"meters"
"2623",c(-109.748611, 30.544167),1713,"meters"
"2624",c(-110.03222, 31.03444),1572,"meters"
"2625",c(-109.96175, 30.94567),2023,"meters"
"2626",c(-104.7208333, 23.6683333),2352,"meters"
"2627",c(-109.74097, 30.54998),1713,"meters"
"2628",c(-109.9604, 30.9396),2023,"meters"
"2629",c(-108.983056, 29.851111),1804,"meters"
"2630",c(-109.223889, 30.600556),1819,"meters"
"2631",c(-109.171389, 30.551389),1847,"meters"
"2632",c(-108.233846, 28.172426),2209,"meters"
"2633",c(-108.976944, 29.844444),1661,"meters"
"2634",c(-108.7640847, 31.32149333),1745,"meters"
"2635",c(-110.17525, 29.09811111),1081,"meters"
"2636",c(-109.025498, 28.331499),1790,"meters"
"2637",c(-110.37583, 31.01194),1872,"meters"
"2638",c(-110.39, 31.01278),1872,"meters"
"2639",c(-110.41222, 31.0125),1625,"meters"
"2640",c(-110.75667, 30.63444),1406,"meters"
"2641",c(-110.75611, 30.62611),1406,"meters"
"2642",c(-109.22083, 30.59139),1819,"meters"
"2643",c(-109.17556, 30.6),1943,"meters"
"2644",c(-109.19833, 30.5825),1819,"meters"
"2645",c(-111.09611, 31.19694),1296,"meters"
"2646",c(-109.8541667, 30.77222),1639,"meters"
"2647",c(-109.8294444, 30.75639),1634,"meters"
"2648",c(-107.490316, 28.547637),2073,"meters"
"2649",c(-109.927785, 31.263588),1545,"meters"
"2650",c(-109.8311111, 30.75),1634,"meters"
"2651",c(-109.8194444, 30.735),1634,"meters"
"2652",c(-109.8136111, 30.72694),1599,"meters"
"2653",c(-110.38583, 31.00417),1872,"meters"
"2654",c(-110.37556, 31.00611),1872,"meters"
"2655",c(-110.37194, 31.00306),1872,"meters"
"2656",c(-110.36333, 31.00722),1872,"meters"
"2657",c(-110.385, 30.99111),1872,"meters"
"2658",c(-110.40306, 31.00972),1625,"meters"
"2659",c(-105.13694, 24.95),2037,"meters"
"2660",c(-109.208055, 30.59115398),1819,"meters"
"2661",c(-107.383333, 27.883333),2575,"meters"
"2662",c(-108.94083, 31.1975),1505,"meters"
"2663",c(-109.560278, 30.283889),1477,"meters"
"2664",c(-109.97167, 31.24111),1705,"meters"
"2665",c(-108.97111, 31.09111),1795,"meters"
"2666",c(-109.92064, 30.93333),2015,"meters"
"2667",c(-110.23583, 30.86306),1482,"meters"
"2668",c(-110.21639, 30.86278),1511,"meters"
"2669",c(-107.283, 26.4167),2148,"meters"
