"","geometry","elevation","elev_units"
"129",c(-110.34056, 29.78556),1457,"meters"
"130",c(-110.3325, 29.785556),1457,"meters"
"131",c(-109.76973, 30.642121),1580,"meters"
"132",c(-108.8167, 30.02308),1685,"meters"
"133",c(-108.84988, 29.9852),1860,"meters"
"134",c(-108.892, 30.07581),1947,"meters"
"135",c(-108.91366, 30.12805),1652,"meters"
"136",c(-110.1892, 29.0924),1069,"meters"
"137",c(-110.1784, 29.0951),1081,"meters"
"138",c(-110.178, 29.0977),1081,"meters"
"139",c(-110.2065, 29.0932),972,"meters"
"140",c(-110.196, 29.1026),942,"meters"
"141",c(-110.18861, 29.10389),1081,"meters"
"142",c(-108.7195, 29.8173),1810,"meters"
"143",c(-108.69993, 29.78306),1909,"meters"
"144",c(-108.82857, 29.7618),1553,"meters"
"145",c(-110.33751, 29.80294),1457,"meters"
"146",c(-110.35222, 29.80918),1373,"meters"
"147",c(-110.35487, 29.8103),1373,"meters"
"148",c(-109.00955, 29.82044),1816,"meters"
"149",c(-108.9972, 29.83622),1816,"meters"
"150",c(-109.53798, 29.91643),1515,"meters"
"151",c(-109.545244, 30.015979),1410,"meters"
"152",c(-109.7325, 30.575556),1663,"meters"
"153",c(-107.6839444, 27.34941667),2225,"meters"
"154",c(-106.9469444, 26.60416667),2030,"meters"
"155",c(-106.8913889, 26.47),2177,"meters"
"156",c(-108.4341667, 27.09527778),998,"meters"
"157",c(-108.4330556, 29.08722222),1984,"meters"
"158",c(-108.5847222, 29.03583333),1805,"meters"
"159",c(-108.5147222, 28.67694444),1572,"meters"
"160",c(-107.9964167, 27.47472222),2161,"meters"
"161",c(-108.2144444, 27.78361111),1515,"meters"
"162",c(-110.3325, 29.78555556),1457,"meters"
"163",c(-110.3536111, 29.805),1457,"meters"
"164",c(-110.3673361, 30.32468889),1491,"meters"
"165",c(-110.3805556, 30.32916667),1491,"meters"
"166",c(-109.0502778, 29.79666667),1260,"meters"
"167",c(-108.7502778, 30.20305556),1646,"meters"
"168",c(-109.4816667, 29.92861111),1683,"meters"
"169",c(-109.5547222, 30.00027778),1524,"meters"
"170",c(-109.56, 29.99361111),1524,"meters"
"171",c(-109.5458333, 30.01777778),1410,"meters"
"172",c(-110.5666667, 30.71713889),1668,"meters"
"173",c(-108.9372222, 29.83416667),1661,"meters"
"174",c(-108.6791667, 29.845),1694,"meters"
"175",c(-108.8316667, 29.79361111),1636,"meters"
"176",c(-109.2229722, 30.57436111),1819,"meters"
"177",c(-110.1966667, 29.10222222),942,"meters"
"178",c(-110.1913889, 29.09416667),1081,"meters"
"179",c(-110.1755556, 29.09388889),1081,"meters"
"180",c(-111.0602778, 31.14083333),1411,"meters"
"181",c(-109.51417, 28.90111),1115,"meters"
"182",c(-108.425, 30.091667),2116,"meters"
"183",c(-108.95, 28.016667),1853,"meters"
"184",c(-108.4, 28.183333),1716,"meters"
"185",c(-108.283333, 28.341667),1938,"meters"
"186",c(-108.976667, 26.921667),786,"meters"
"187",c(-109, 29.855556),1804,"meters"
"188",c(-108.791686, 28.298708),1495,"meters"
"189",c(-108.9975, 29.841944),1816,"meters"
"190",c(-109.063047, 28.372285),1254,"meters"
"191",c(-111.05, 31.1333333),1411,"meters"
"192",c(-109.107778, 30.427222),1760,"meters"
"193",c(-109.22083, 30.60167),1819,"meters"
"194",c(-109.22872, 29.93475),1001,"meters"
"195",c(-109.595, 30.35778),1502,"meters"
