,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
PM234,Quercus sp.nov.,Quercus sp.nov.,PM234,PM-234,QUE001568,1,subg. Cerris,Ilex,Himalayan subalpine,6442,41493,Mn DENG,DM5296,,China,Tibet,Longzi,,,,,,28.61,92.4,Not Recorded,,PRJNA376740,SAMN11229721,DM-5296,PM-234.fq.gz,SRR8860573,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_sp.nov.|China|Tibet|DM5296|QUE001568
DM11012,Quercus chungii,Quercus chungii,DM11012,DM-11012,QUE001572,1,subg. Cerris,Cyclobalanopsis,CTB lineage,4232,41972,Min DENG,11012,,China,Fujian,Mingqing,,,,,,19.088,109.195,Not Recorded,,PRJNA376740,SAMN11229562,DM-11012,DM-11012_R1.fq.gz,SRR8860681,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_chungii|China|Fujian|11012|QUE001572
DM11599,Quercus jenseniana,Quercus jenseniana,DM11599,DM-11599,QUE001573,1,subg. Cerris,Cyclobalanopsis,Cyclobalanoides,3971,,,11599,,China,Fujian,Shanghang,,,,,,23.33,116.94,Not Recorded,,PRJNA376740,SAMN11229627,DM-11599,DM-11599_R1.fq.gz,SRR8860517,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_jenseniana|China|Fujian|11599|QUE001573
DM5887,Quercus setulosa,Quercus setulosa,DM5887,DM-5887,QUE001574,1,subg. Cerris,Ilex,East Asian Ilex,3551,40847,Min DENG,DM5887,,China,Yunnan,Malipo,,,,,,23.16,104.831,Not Recorded,,PRJNA376740(MOR-Floragenex sequenced)|NA (Deng- China sequenced),SAMN11229715 (MOR-Floragenex sequenced)| SAMN09658908 (Deng China sequenced),DM-5887|NA,DM-5887_R1.fq.gz,SRR8860579|,"Hipp et al., 2019 (Oaks of the World)[Floragenex sequenced]| Jiang et al., (East Asian origins of European holly oaks, section Ilex) [China sequenced]","Hipp et al., 2019 (Oaks of the World); Jiang et al., (East Asian origins of European holly oaks, section Ilex)",Quercus_setulosa|China|Yunnan|DM5887|QUE001574
OAKUMN338,Quercus purulhana,Quercus purulhana,OAKUMN338,OAK-UMN-338.fq.barcodeStripped,QUE001576,0,subg. Quercus,Quercus,Leucomexicana,3765,,Jeannine Cavender-Bares,JCB-BZ-MPR-PU-1,,Belize,,,,,,,F,,,UMN,,PRJNA376740,SAMN07140993,OAK-UMN-338,OAK-UMN-338.fq.barcodeStripped.fq.gz,SRR5632477,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_purulhana|Belize|NA|JCB-BZ-MPR-PU-1|QUE001576
OAKUMN343,Quercus purulhana,Quercus purulhana,OAKUMN343,OAK-UMN-343,QUE001577,1,subg. Quercus,Quercus,Leucomexicana,4958,,Jeannine Cavender-Bares,JCB-BZ-MPR-PU-6,,Belize,,,,,,,F,,,UMN,,PRJNA376740,SAMN07140994,OAK-UMN-343,OAK-UMN-343.fq.gz,SRR5632476,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_purulhana|Belize|NA|JCB-BZ-MPR-PU-6|QUE001577
OAKUMN397,Quercus insignis,Quercus insignis,OAKUMN397,OAK-UMN-397.fq.barcodeStripped,QUE001578,1,subg. Quercus,Quercus,Leucomexicana,3052,,Jeannine Cavender-Bares,JCB-MX-??-RV,,Mexico,,,,,,,F,,,UMN,,PRJNA376740,SAMN07141007,OAK-UMN-397,OAK-UMN-397.fq.barcodeStripped.fq.gz,SRR5632481,"McVay et al., 2017. PRSB. (white oaks)","McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_insignis|Mexico|NA|JCB-MX-??-RV|QUE001578
OAKMOR1148,Quercus prinoides,Q. prinoides,OAKMOR1148,OAK-MOR-1148,QUE001579,0,subg. Quercus,Quercus,Prinoids,5478,42639,Guy Sternberg,s.n. - Sternberg,NA-wild,USA,IL,,,,,,F,,,Not Recorded,,PRJNA376740,SAMN11229676,OAK-MOR-1148,OAK-MOR-1148.fq.gz,SRR8860674,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_prinoides|USA|IL|s.n._-_Sternberg|QUE001579
AGR21,Quercus benthamii,Quercus benthamii,AGR21,AGR21.fq.barcodeStripped,QUE001582,1,subg. Quercus,Lobatae,Erythromexicana,2561,,Antonio González,AGR21,,Mexico,Chiapas,,,El Triunfo,,,F,15.6744,-92.81,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN11229538,AGR21,AGR21.fq.barcodeStripped.fq.gz,SRR8860551,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_benthamii|Mexico|Chiapas|AGR21|QUE001582
AGR22,Quercus martinezii,Quercus martinezii,AGR22,AGR22.fq.barcodeStripped,QUE001583,0,subg. Quercus,Quercus,Leucomexicana,1632,,Antonio González,AGR22,,Mexico,Jalisco,,,Reserva de la Biosfera Sierra de Manantlan,,,F,19.598,-104.208,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM",,PRJNA376740,SAMN07140784,AGR22,AGR22.fq.barcodeStripped.fq.gz,SRR5632482,"Hipp et al., 2018. New Phytol. (Oaks of the Americas)","Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_martinezii|Mexico|Jalisco|AGR22|QUE001583
