coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
4557134,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
975095,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T10:17:26Z,egbot,
3246942,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3247175,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T10:17:26Z,egbot,
4557015,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T11:57:34Z,egbot,
950324,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
958099,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907579,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
1907712,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3090853,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-02-07T13:46:33Z,egbot,
3242175,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3242237,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2017-04-17T11:57:34Z,egbot,
999422,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
3242128,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,sterile,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#02,,2017-04-17T11:58:05Z,egbot,
